Id,Category
1,7
2,0
3,5
4,4
5,8
6,0
7,1
8,5
9,5
10,4
11,4
12,8
13,8
14,8
15,6
16,4
17,4
18,3
19,7
20,1
21,4
22,5
23,1
24,3
25,5
26,0
27,5
28,0
29,2
30,6
31,4
32,8
33,6
34,4
35,8
36,3
37,1
38,5
39,2
40,2
41,2
42,2
43,2
44,5
45,0
46,3
47,1
48,3
49,0
50,3
51,2
52,2
53,6
54,3
55,3
56,1
57,5
58,1
59,7
60,4
61,1
62,5
63,5
64,3
65,4
66,4
67,3
68,8
69,3
70,3
71,6
72,2
73,7
74,8
75,5
76,6
77,0
78,8
79,6
80,4
81,0
82,1
83,2
84,7
85,5
86,5
87,8
88,8
89,7
90,0
91,4
92,4
93,3
94,7
95,3
96,5
97,0
98,6
99,3
100,5
101,3
102,1
103,4
104,5
105,3
106,7
107,7
108,7
109,2
110,6
111,5
112,4
113,0
114,4
115,7
116,7
117,3
118,5
119,6
120,2
121,3
122,6
123,3
124,0
125,3
126,8
127,2
128,1
129,2
130,5
131,4
132,3
133,0
134,8
135,7
136,3
137,0
138,3
139,6
140,1
141,5
142,1
143,8
144,8
145,2
146,3
147,5
148,3
149,4
150,5
151,1
152,1
153,3
154,2
155,1
156,3
157,1
158,5
159,7
160,4
161,2
162,2
163,8
164,1
165,6
166,1
167,8
168,6
169,3
170,1
171,5
172,4
173,1
174,6
175,6
176,7
177,8
178,2
179,4
180,1
181,5
182,5
183,5
184,0
185,4
186,0
187,4
188,0
189,4
190,6
191,4
192,0
193,5
194,3
195,4
196,2
197,3
198,3
199,8
200,6
201,5
202,4
203,0
204,1
205,2
206,5
207,0
208,4
209,1
210,4
211,5
212,0
213,3
214,4
215,4
216,3
217,2
218,2
219,3
220,5
221,5
222,2
223,6
224,8
225,6
226,5
227,7
228,1
229,7
230,5
231,3
232,4
233,7
234,0
235,6
236,2
237,8
238,5
239,5
240,1
241,3
242,3
243,7
244,8
245,2
246,1
247,3
248,6
249,5
250,5
251,0
252,4
253,5
254,6
255,5
256,3
257,3
258,2
259,8
260,6
261,1
262,4
263,1
264,8
265,7
266,0
267,5
268,4
269,6
270,2
271,8
272,0
273,0
274,3
275,1
276,3
277,4
278,0
279,5
280,2
281,1
282,0
283,0
284,1
285,0
286,4
287,2
288,0
289,6
290,3
291,3
292,3
293,4
294,3
295,6
296,4
297,8
298,3
299,7
300,5
301,8
302,8
303,4
304,0
305,5
306,0
307,2
308,1
309,5
310,2
311,3
312,8
313,3
314,7
315,8
316,4
317,2
318,0
319,6
320,7
321,6
322,1
323,5
324,7
325,8
326,5
327,7
328,1
329,1
330,3
331,4
332,4
333,0
334,4
335,3
336,4
337,1
338,3
339,2
340,7
341,4
342,5
343,2
344,8
345,4
346,1
347,7
348,8
349,5
350,7
351,5
352,2
353,5
354,2
355,8
356,0
357,8
358,7
359,6
360,6
361,5
362,3
363,1
364,8
365,3
366,0
367,2
368,1
369,3
370,2
371,3
372,7
373,1
374,8
375,3
376,8
377,6
378,4
379,2
380,6
381,2
382,3
383,1
384,0
385,5
386,8
387,2
388,6
389,5
390,4
391,8
392,0
393,4
394,4
395,6
396,7
397,1
398,4
399,3
400,1
401,7
402,1
403,3
404,1
405,5
406,6
407,6
408,1
409,8
410,6
411,1
412,2
413,6
414,1
415,4
416,4
417,6
418,3
419,0
420,3
421,4
422,2
423,4
424,5
425,8
426,3
427,7
428,6
429,0
430,2
431,5
432,4
433,8
434,7
435,3
436,1
437,0
438,7
439,6
440,0
441,7
442,0
443,2
444,8
445,6
446,8
447,0
448,8
449,7
450,5
451,3
452,5
453,7
454,2
455,3
456,5
457,7
458,6
459,3
460,4
461,4
462,7
463,2
464,8
465,1
466,7
467,5
468,0
469,0
470,2
471,4
472,0
473,8
474,7
475,4
476,6
477,6
478,4
479,4
480,5
481,6
482,8
483,6
484,7
485,4
486,1
487,4
488,3
489,5
490,1
491,3
492,3
493,4
494,5
495,1
496,3
497,8
498,6
499,1
500,4
501,8
502,1
503,2
504,7
505,6
506,1
507,3
508,0
509,4
510,7
511,7
512,7
513,5
514,5
515,0
516,1
517,4
518,8
519,2
520,5
521,7
522,7
523,7
524,2
525,1
526,7
527,7
528,2
529,4
530,5
531,7
532,5
533,4
534,2
535,8
536,3
537,7
538,6
539,4
540,5
541,8
542,0
543,3
544,6
545,4
546,0
547,0
548,0
549,4
550,7
551,7
552,1
553,6
554,1
555,0
556,6
557,7
558,3
559,2
560,1
561,5
562,3
563,7
564,2
565,5
566,1
567,1
568,6
569,8
570,7
571,4
572,5
573,0
574,6
575,0
576,8
577,0
578,6
579,3
580,2
581,1
582,8
583,3
584,2
585,3
586,6
587,3
588,6
589,0
590,1
591,1
592,8
593,8
594,6
595,2
596,3
597,4
598,0
599,4
600,5
601,5
602,1
603,1
604,8
605,6
606,5
607,8
608,7
609,6
610,8
611,2
612,5
613,0
614,8
615,0
616,0
617,1
618,2
619,1
620,2
621,6
622,0
623,8
624,4
625,6
626,6
627,5
628,1
629,6
630,0
631,4
632,4
633,4
634,7
635,4
636,0
637,4
638,2
639,3
640,8
641,7
642,6
643,7
644,8
645,2
646,0
647,8
648,2
649,5
650,2
651,6
652,3
653,8
654,3
655,4
656,5
657,1
658,5
659,6
660,7
661,8
662,4
663,0
664,2
665,3
666,7
667,6
668,8
669,5
670,3
671,0
672,0
673,0
674,6
675,4
676,4
677,2
678,8
679,7
680,6
681,3
682,1
683,5
684,1
685,0
686,8
687,6
688,0
689,4
690,6
691,5
692,2
693,7
694,0
695,6
696,5
697,5
698,7
699,5
700,4
701,6
702,8
703,6
704,4
705,5
706,0
707,6
708,4
709,4
710,4
711,2
712,1
713,7
714,6
715,1
716,6
717,3
718,4
719,2
720,7
721,4
722,0
723,1
724,4
725,0
726,8
